Unnamed: 0,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA
1508,2.37,3.2,2.9,2.4,3.1,2.7,2.37,3.2,2.6,2.37,3.1,2.62
1507,2.4,3.2,2.87,2.45,3.0,2.75,2.37,3.2,2.6,2.37,3.1,2.62
1509,1.8,3.3,4.5,1.8,3.2,4.0,1.66,3.3,4.5,1.66,3.3,4.5
1510,3.6,3.3,2.0,3.4,3.1,2.0,3.5,3.2,1.9,3.3,3.1,2.0
1511,2.7,3.25,2.5,2.55,3.1,2.55,2.6,3.2,2.37,2.5,3.1,2.5
1512,2.2,3.1,3.3,2.1,3.1,3.2,2.1,3.2,3.0,2.15,3.1,3.0
1513,1.44,3.75,8.5,1.4,3.8,7.0,1.4,3.75,7.0,1.4,3.75,7.0
1514,1.8,3.3,4.5,1.75,3.3,4.2,1.72,3.2,4.33,1.72,3.2,4.33
1515,2.5,3.1,2.8,2.4,3.0,2.8,2.37,3.0,2.75,2.3,2.8,3.0
1516,2.3,3.1,3.1,2.2,3.1,3.0,2.1,3.2,3.0,2.2,3.1,2.87
1517,1.8,3.3,4.5,1.7,3.4,4.3,1.72,3.2,4.33,1.72,3.2,4.33
1518,2.2,3.1,3.3,2.2,3.0,3.1,2.1,3.2,3.0,2.2,3.0,3.0
1519,1.83,3.3,4.33,1.8,3.2,4.0,1.72,3.1,4.5,1.8,3.1,4.0
1520,5.0,3.6,1.66,4.5,3.5,1.65,5.0,3.5,1.57,5.5,3.3,1.57
1521,6.0,3.6,1.57,4.5,3.5,1.65,4.5,3.3,1.66,5.0,3.3,1.61
1522,1.44,4.0,7.5,1.4,4.0,6.5,1.44,3.6,6.5,1.44,3.75,6.0
1523,1.33,4.5,9.5,1.3,4.4,8.5,1.33,4.0,8.0,1.33,4.0,8.0
1530,3.75,3.2,2.0,3.2,3.1,2.1,3.0,3.2,2.1,3.5,3.1,1.95
1528,2.4,3.2,2.87,2.4,3.0,2.8,2.25,3.2,2.75,2.3,3.1,2.75
1527,2.2,3.2,3.25,2.2,3.0,3.1,2.2,3.0,3.0,2.2,3.0,3.0
1529,2.2,3.1,3.3,2.2,3.1,3.0,2.2,3.2,2.8,2.2,3.0,3.0
1525,1.9,3.25,4.0,2.0,3.2,3.3,1.8,3.2,4.0,1.9,3.1,3.6
1524,1.66,3.5,5.0,1.6,3.5,5.0,1.72,3.1,4.5,1.57,3.3,5.5
1526,6.0,3.6,1.57,5.2,3.6,1.55,6.0,3.4,1.5,5.5,3.3,1.57
1531,1.9,3.25,4.0,1.85,3.2,3.8,1.72,3.1,4.5,1.83,3.2,3.75
1532,1.57,3.6,6.0,1.65,3.4,4.7,1.61,3.25,5.0,1.66,3.1,5.0
1533,2.5,3.1,2.8,2.55,3.1,2.55,2.5,3.2,2.5,2.5,3.1,2.5
1534,1.72,3.4,5.0,1.75,3.3,4.2,1.66,3.3,4.5,1.66,3.3,4.5
1535,1.9,3.25,4.0,2.1,3.1,3.2,2.0,3.2,3.2,2.15,3.1,3.0
1536,2.0,3.3,3.6,1.9,3.2,3.6,1.9,3.2,3.5,1.9,3.2,3.5
1542,2.2,3.2,3.25,2.15,3.1,3.1,2.1,3.2,3.0,2.05,3.0,3.3
1543,1.53,4.0,6.0,1.6,3.5,5.0,1.53,3.5,5.5,1.44,3.6,6.5
1541,2.05,3.2,3.6,2.0,3.2,3.3,2.1,3.2,3.0,2.05,3.1,3.2
1544,2.6,3.2,2.62,2.55,3.1,2.55,2.75,3.0,2.38,2.5,3.1,2.5
1539,1.33,4.5,9.5,1.35,4.2,7.5,1.36,3.75,8.0,1.33,4.0,8.0
1538,1.75,3.3,5.0,1.8,3.2,4.0,1.73,3.2,4.33,1.8,3.1,4.0
1537,2.15,3.25,3.4,2.1,3.1,3.2,2.0,3.2,3.2,1.9,3.1,3.6
1540,1.36,4.33,9.0,1.4,4.0,6.5,1.36,3.75,8.0,1.33,4.0,8.0
1545,1.72,3.4,5.0,1.75,3.3,4.2,1.67,3.3,4.5,1.72,3.1,4.5
1546,2.62,3.2,2.6,2.7,3.0,2.5,2.6,3.2,2.38,2.7,3.0,2.37
1547,1.2,6.0,13.0,1.25,4.8,9.5,1.2,5.0,11.0,1.25,4.5,10.0
1548,4.75,3.5,1.72,4.3,3.4,1.7,3.75,3.3,1.8,4.5,3.3,1.66
1554,1.8,3.4,4.33,1.85,3.2,3.8,1.66,3.3,4.5,1.83,3.0,4.0
1553,2.1,3.25,3.4,1.9,3.2,3.6,1.83,3.2,3.75,1.9,3.1,3.6
1552,1.72,3.4,5.0,1.6,3.5,4.9,1.57,3.25,5.5,1.61,3.3,5.0
