Unnamed: 0,HomeTeam,AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,FTR
1721.0,5.0,38.0,26.0,16.0,29.0,42.0,-0.3771286078863084,-1.6448431207817602,L,L,L,L,L,D,L,L,L,L,8.0,18.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.20465320900307293,-1.868452490985773,0.9004564129840001,-0.10056880325693748,-1.2433930466697158,H
971.0,3.0,24.0,28.0,25.0,25.0,20.0,0.10300986156331876,0.07818050082465217,D,D,W,L,D,L,W,L,D,D,10.0,12.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21160937010878658,0.32202144464302473,0.01819844527734846,0.16203752600076324,-0.24896273228091137,NH
1640.0,5.0,1.0,19.0,17.0,14.0,13.0,0.908738868944369,0.22227742496833724,D,W,W,W,L,W,D,W,L,D,8.0,6.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5817032910708743,0.4422349329849675,0.49326042788779106,0.46786350157636825,0.2482524249134908,NH
726.0,19.0,16.0,50.0,32.0,36.0,41.0,0.7714744879741218,-0.488022901810663,W,L,L,W,W,D,L,D,L,L,4.0,18.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604638688990294,-0.4020968224064008,0.9004564129840001,0.5980861750478353,-1.740608203864118,H
1672.0,11.0,26.0,27.0,27.0,6.0,27.0,2.109802202358654,-0.06970844762033811,W,D,W,W,W,D,W,L,L,L,2.0,5.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9649944780518709,-0.017712326760977462,1.5621498887628311,1.6208767562682402,-0.3732665215795119,H
3782.0,36.0,5.0,64.0,40.0,37.0,65.0,1.1639508354051182,-0.6705905714983804,W,L,W,W,L,D,W,L,L,L,8.0,13.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0962000551973239,-1.0277316471505271,1.3117793844140841,0.4150705258449212,-0.621874100176713,NH
3851.0,2.0,40.0,7.0,2.0,8.0,13.0,-0.5822363035810552,-1.3349805621271609,L,D,D,W,D,L,D,W,L,L,9.0,16.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2401484676877118,-2.758231416078324,0.5328489264386613,0.974285009518768,-0.8704816787739141,H
5984.0,36.0,0.0,49.0,44.0,22.0,28.0,1.274341976383306,1.033509110359767,L,W,W,W,W,L,L,W,W,D,5.0,3.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3963053550862128,0.8070206907152832,0.17791756012056775,0.5202519334317003,0.2482524249134908,
692.0,11.0,14.0,58.0,29.0,31.0,51.0,0.831083912037292,-0.8153152293837133,L,W,W,W,L,L,W,L,D,W,6.0,17.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2661815727120198,-1.0454069852568508,1.1761620278914602,0.21013112699871617,-1.3676968359683164,H
4263.0,41.0,35.0,6.0,7.0,12.0,12.0,-1.0608209268587472,-0.8529721375533398,L,L,L,L,L,L,W,L,W,L,17.0,18.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.9855489000502197,-0.8481726568593173,-0.15335171510975582,-1.84720624902028,-0.12465894298231084,NH
